Voltage A Min,Voltage B Min,Voltage C Min
189.358,153.917,195.735
189.175,159.719,201.877
188.783,161.575,186.718
188.757,172.186,187.659
176.995,173.206,205.876
180.472,176.865,204.831
180.524,176.917,192.494
180.262,189.28,199.839
181.778,189.828,211.887
179.975,189.462,211.94
178.642,189.253,212.462
180.315,188.94,193.749
180.707,190.377,200.492
180.262,190.194,201.433
180.628,190.064,202.635
180.315,189.907,200.701
179.635,189.541,203.289
179.243,189.567,202.635
179.4,189.619,200.989
180.576,189.044,197.591
180.837,189.123,199.865
180.184,189.332,201.093
180.08,189.097,201.041
177.675,189.044,199.656
175.297,189.018,198.558
173.99,189.123,204.595
